,Pd_1s
-72.5698,0.0
-72.5598,0.0
-72.54979999999999,0.0
-72.5398,0.0
-72.5298,0.0
-72.51979999999999,0.0
-72.5098,0.0
-72.4998,0.0
-72.4898,0.0
-72.4798,0.0
-72.46979999999999,0.0
-72.4598,0.0
-72.4498,0.0
-72.43979999999999,0.0
-72.4298,0.0
-72.4198,0.0
-72.40979999999999,0.0
-72.3998,0.0
-72.3898,0.0
-72.3798,0.0
-72.3698,0.0
-72.35979999999999,0.0
-72.3498,0.0
-72.3398,0.0
-72.32979999999999,0.0
-72.3198,0.0
-72.3098,0.0
-72.29979999999999,0.0
-72.2898,0.0
-72.2798,0.0
-72.26979999999999,0.0
-72.2598,0.0
-72.2498,0.0
-72.2398,0.0
-72.2298,0.0
-72.21979999999999,0.0
-72.2098,0.0
-72.1998,0.0
-72.18979999999999,0.0
-72.1798,0.0
-72.1698,0.0
-72.15979999999999,0.0
-72.1498,0.0
-72.1398,0.0
-72.1298,0.0
-72.1198,0.0
-72.10979999999999,0.0
-72.0998,0.0
-72.0898,0.0
-72.07979999999999,0.0
-72.0698,0.0
-72.0598,0.0
-72.04979999999999,0.0
-72.0398,0.0
-72.0298,0.0
-72.01979999999999,0.0
-72.0098,0.0
-71.9998,0.0
-71.9898,0.0
-71.9798,0.0
-71.96979999999999,0.0
-71.9598,0.0
-71.9498,0.0
-71.93979999999999,0.0
-71.9298,0.0
-71.9198,0.0
-71.90979999999999,0.0
-71.8998,0.0
-71.8898,0.0
-71.8798,0.0
-71.8698,0.0
-71.85979999999999,0.0
-71.8498,0.0
-71.8398,0.0
-71.82979999999999,0.0
-71.8198,0.0
-71.8098,0.0
-71.79979999999999,0.0
-71.7898,0.0
-71.7798,0.0
-71.76979999999999,0.0
